SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q01010203,Q0119,Q01190100,Q0117,Q0120,Q012001,NHQ2,THQ01,THQ02,THQ03,THQ04,THQ05,THQ06,THQ07,THQ08,THQ09,THQ10,THQ11,THQ12,THQ13
98,1,39,8,2,4,4,3,1,2024,5,4,1,1600,1,6,100,0,0,0,0,0,100,0,0,0,0,0,0,0
98,1,42,8,2,2,2,2,1,2023,11,4,1,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,52,1,2,5,10,5,1,2024,2,4,1,2500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,48,1,2,3,10,5,1,2024,2,5, , , , ,300,0,0,0,0,200,0,0,100,0,0,0,0,0
98,2,50,10,2,5,6,1,1,2024,5,1, ,1000,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,59,14,2,6,8,8,1,2023,8,4,1,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,36,1,1,1,5,5,1,2023,8,1, ,2000,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,70,1,2,7,10,3,1,2024,2,1, ,2000,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,42,8,2,5,12,11,1,2024,5,3, ,2000,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,38,2,1,6,2,4,1,2024,6,1, ,1000, ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,62,11,2,6,12,11,1,2024,6,1, ,3500,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,52,8,2,5,8,7,1,2024,6,2, ,2000,1,5,100,0,0,0,0,0,100,0,0,0,0,0,0,0
98,1,38,11,2,5,9,7,1,2023,9,1, ,2000,1, ,400,0,0,0,0,0,0,0,0,300,0,100,0,0
98,1,61,1,2,6,7,3,1,2023,8,1, ,2500,3,7,100,0,0,0,0,0,0,0,0,0,100,0,0,0
5,1,29,13,2,4,3,3,1,2023,7,1, ,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,59,8,2,6,4,4,1,2024,4,1, ,2000,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,57,8,2,6,5,5,1,2023,7,1, ,2500,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,57,11,2,6,10,10,1,2024,6,4,1,1600,1,7,800,0,100,0,100,0,100,200,100,100,0,100,0,0
1,2,47,3,2,5,6,2,1,2023,7,2, ,2000, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,50,8,2,5,7,5,1,2024,5,4,1,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
